POPID,RECOVERYDOMAIN,ESU_DPS,MAJORPOPGROUP,POPULATIONNAME,ESAPOPNAME,NMFS_POPID,NMFS_POPULATION,NMFS_POPCODE,NMFS_SPECIES,NMFS_COMMON_SPECIES,NMFS_RUN,POPSTATUS,NMFS_TYPE,LISTING_STATUS,DEFINEDBY,BPA_PRIORITY,SPECIES,RUN,FCRPS_SECTION,FCRPS_SECTIONTITLE,INCAX,RTID,CONTACTAGENCY,RECORDNOTE,DATASETVERSION,UPDDATE,SNLOADDATE,LASTUPDATED,LASTMODIFIEDON
118,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",Mid-Coast,Big (near Yaquina) Creek - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Big (near Yaquina) Creek - fall",159,Big (near Yaquina) Creek,COORCfaBGY,Oncorhynchus kisutch,Coho,fall,Extant,Dependent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110325,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
119,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",Mid-Coast,Bob Creek - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Bob Creek - fall",160,Bob Creek,COORCfaBOB,Oncorhynchus kisutch,Coho,fall,Extant,Dependent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110334,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
120,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",Mid-Coast,Cape Creek - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Cape Creek - fall",161,Cape Creek,COORCfaCAP,Oncorhynchus kisutch,Coho,fall,Extant,Dependent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110339,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
121,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",Mid-Coast,China Creek - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) China Creek - fall",162,China Creek,COORCfaCHI,Oncorhynchus kisutch,Coho,fall,Extant,Dependent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110338,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
122,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",Mid-Coast,Coal Creek - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Coal Creek - fall",163,Coal Creek,COORCfaCOA,Oncorhynchus kisutch,Coho,fall,Extant,Dependent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110323,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
123,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",Mid-Coast,Cummins Creek - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Cummins Creek - fall",166,Cummins Creek,COORCfaCUM,Oncorhynchus kisutch,Coho,fall,Extant,Dependent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110333,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
124,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",Mid-Coast,Depoe Bay Creek - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Depoe Bay Creek - fall",167,Depoe Bay Creek,COORCfaDEP,Oncorhynchus kisutch,Coho,fall,Extant,Dependent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110319,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
125,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",Mid-Coast,Devils Lake - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Devils Lake - fall",168,Devils Lake,COORCfaDEV,Oncorhynchus kisutch,Coho,fall,Extant,Dependent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110315,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
126,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",Mid-Coast,Fogarty Creek - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Fogarty Creek - fall",171,Fogarty Creek,COORCfaFOG,Oncorhynchus kisutch,Coho,fall,Extant,Dependent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110318,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
127,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",Mid-Coast,Moolack Creek - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Moolack Creek - fall",175,Moolack Creek,COORCfaMOK,Oncorhynchus kisutch,Coho,fall,Extant,Dependent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110324,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
128,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",Mid-Coast,Rock Creek - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Rock Creek - fall",182,Rock Creek,COORCfaRCC,Oncorhynchus kisutch,Coho,fall,Extant,Dependent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110336,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
129,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",Mid-Coast,Rocky Creek - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Rocky Creek - fall",183,Rocky Creek,COORCfaRKY,Oncorhynchus kisutch,Coho,fall,Extant,Dependent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110320,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
130,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",Mid-Coast,Salmon River - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Salmon River - fall",185,Salmon River,COORCfaSMN,Oncorhynchus kisutch,Coho,fall,Extant,Potentially Independent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110314,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
131,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",Mid-Coast,Schoolhouse Creek - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Schoolhouse Creek - fall",187,Schoolhouse Creek,COORCfaSCH,Oncorhynchus kisutch,Coho,fall,Extant,Dependent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110317,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
132,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",Mid-Coast,Siletz River - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Siletz River - fall",189,Siletz River,COORCfaSIL,Oncorhynchus kisutch,Coho,fall,Extant,Functionally Independent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110316,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
133,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",Mid-Coast,Siuslaw River - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Siuslaw River - fall",191,Siuslaw River,COORCfaSIU,Oncorhynchus kisutch,Coho,fall,Extant,Functionally Independent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110342,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
134,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",Mid-Coast,Spencer Creek - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Spencer Creek - fall",194,Spencer Creek,COORCfaSPN,Oncorhynchus kisutch,Coho,fall,Extant,Dependent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110321,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
135,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",Mid-Coast,Tenmile Creek - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Tenmile Creek - fall",198,Tenmile Creek,COORCfaTEC,Oncorhynchus kisutch,Coho,fall,Extant,Dependent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110335,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
136,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",Mid-Coast,Thiel Creek - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Thiel Creek - fall",200,Thiel Creek,COORCfaTHE,Oncorhynchus kisutch,Coho,fall,Extant,Dependent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110327,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
137,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",Mid-Coast,Vingie Creek - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Vingie Creek - fall",204,Vingie Creek,COORCfaVIN,Oncorhynchus kisutch,Coho,fall,Extant,Dependent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110331,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
138,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",Mid-Coast,Wade Creek - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Wade Creek - fall",205,Wade Creek,COORCfaWAD,Oncorhynchus kisutch,Coho,fall,Extant,Dependent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110322,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
139,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",Mid-Coast,Yachats River - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Yachats River - fall",207,Yachats River,COORCfaYAC,Oncorhynchus kisutch,Coho,fall,Extant,Dependent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110332,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
140,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",Mid-Coast,Yaquina River - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Yaquina River - fall",208,Yaquina River,COORCfaYAQ,Oncorhynchus kisutch,Coho,fall,Extant,Functionally Independent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110326,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
141,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",Mid-South Coast,Coos River - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Coos River - fall",164,Coos River,COORCfaCOS,Oncorhynchus kisutch,Coho,fall,Extant,Functionally Independent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110351,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
142,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",Mid-South Coast,Coquille River - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Coquille River - fall",165,Coquille River,COORCfaCOQ,Oncorhynchus kisutch,Coho,fall,Extant,Functionally Independent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110352,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
143,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",Mid-South Coast,Floras Creek/New River - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Floras Creek/New River - fall",170,Floras Creek/New River,COORCfaFLO,Oncorhynchus kisutch,Coho,fall,Extant,Potentially Independent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110355,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
144,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",Mid-South Coast,Johnson Creek - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Johnson Creek - fall",172,Johnson Creek,COORCfaJOH,Oncorhynchus kisutch,Coho,fall,Extant,Dependent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110365,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
145,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",Mid-South Coast,Sixes River - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Sixes River - fall",192,Sixes River,COORCfaSIX,Oncorhynchus kisutch,Coho,fall,Extant,Potentially Independent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110356,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
146,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",Mid-South Coast,Threemile Creek - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Threemile Creek - fall",201,Threemile Creek,COORCfaTHR,Oncorhynchus kisutch,Coho,fall,Extant,Dependent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110345,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
147,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",Mid-South Coast,Twomile Creek - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Twomile Creek - fall",203,Twomile Creek,COORCfaTWO,Oncorhynchus kisutch,Coho,fall,Extant,Dependent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110354,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
148,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",North Coast,Arch Cape Creek - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Arch Cape Creek - fall",154,Arch Cape Creek,COORCfaARC,Oncorhynchus kisutch,Coho,fall,Extant,Dependent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110303,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
149,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",North Coast,Ecola Creek - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Ecola Creek - fall",169,Ecola Creek,COORCfaECO,Oncorhynchus kisutch,Coho,fall,Extant,Dependent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110302,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
150,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",North Coast,Necanicum River - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Necanicum River - fall",176,Necanicum River,COORCfaNEC,Oncorhynchus kisutch,Coho,fall,Extant,Potentially Independent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110301,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
151,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",North Coast,Nehalem River - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Nehalem River - fall",177,Nehalem River,COORCfaNEH,Oncorhynchus kisutch,Coho,fall,Extant,Functionally Independent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110305,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
152,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",North Coast,Neskowin Creek - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Neskowin Creek - fall",178,Neskowin Creek,COORCfaNES,Oncorhynchus kisutch,Coho,fall,Extant,Dependent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110313,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
153,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",North Coast,Nestucca River - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Nestucca River - fall",179,Nestucca River,COORCfaNSC,Oncorhynchus kisutch,Coho,fall,Extant,Functionally Independent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110312,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
154,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",North Coast,Netarts Bay - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Netarts Bay - fall",180,Netarts Bay,COORCfaNET,Oncorhynchus kisutch,Coho,fall,Extant,Dependent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110309,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
155,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",North Coast,Rover Creek - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Rover Creek - fall",184,Rover Creek,COORCfaROV,Oncorhynchus kisutch,Coho,fall,Extant,Dependent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110310,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
156,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",North Coast,Sand Creek - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Sand Creek - fall",186,Sand Creek,COORCfaSAN,Oncorhynchus kisutch,Coho,fall,Extant,Dependent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110311,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
157,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",North Coast,Short Sand Creek - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Short Sand Creek - fall",188,Short Sand Creek,COORCfaSHS,Oncorhynchus kisutch,Coho,fall,Extant,Dependent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110304,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
158,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",North Coast,Spring Creek - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Spring Creek - fall",195,Spring Creek,COORCfaSPR,Oncorhynchus kisutch,Coho,fall,Extant,Dependent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110306,,Run Changed 20150420,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
159,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",North Coast,Tillamook Bay - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Tillamook Bay - fall",202,Tillamook Bay,COORCfaTMK,Oncorhynchus kisutch,Coho,fall,Extant,Functionally Independent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110308,,Run Changed 20150420,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
160,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",North Coast,Watseco Creek - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Watseco Creek - fall",206,Watseco Creek,COORCfaWAT,Oncorhynchus kisutch,Coho,fall,Extant,Dependent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110307,,Run Changed 20150420,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
161,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",Umpqua,Lower Umpqua River - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Lower Umpqua River - fall",173,Lower Umpqua River,COORCfaLUM,Oncorhynchus kisutch,Coho,fall,Extant,Functionally Independent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110346,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
162,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",Umpqua,Middle Umpqua River - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) Middle Umpqua River - fall",174,Middle Umpqua River,COORCfaMUM,Oncorhynchus kisutch,Coho,fall,Extant,Functionally Independent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110347,,Run Changed 20150420,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
163,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",Umpqua,North Umpqua River - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) North Umpqua River - fall",181,North Umpqua River,COORCfaNUM,Oncorhynchus kisutch,Coho,fall,Extant,Functionally Independent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110348,,Run Changed 20150420,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
164,Oregon Coast,"Salmon, coho (Oregon Coast ESU)",Umpqua,South Umpqua River - fall Coho salmon,"Salmon, coho (Oregon Coast ESU) South Umpqua River - fall",193,South Umpqua River,COORCfaSMQ,Oncorhynchus kisutch,Coho,fall,Extant,Functionally Independent,Threatened,NMFS,3,Coho salmon,Fall,,,1,30222110349,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
165,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Whidbey Basin,Cascade River - spring Chinook salmon,"Salmon, Chinook (Puget Sound ESU) Cascade River - spring",34,Cascade River,CKPUGspCSC,Oncorhynchus tshawytscha,Chinook,spring,Extant,Independent,Threatened,NMFS,3,Chinook salmon,Spring,,,1,30101160207,,MPG Name changed 20151203 by Monica Diaz,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
166,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Whidbey Basin,Lower Sauk River - summer Chinook salmon,"Salmon, Chinook (Puget Sound ESU) Lower Sauk River - summer",39,Lower Sauk River,CKPUGsuLSA,Oncorhynchus tshawytscha,Chinook,summer,Extant,Independent,Threatened,NMFS,3,Chinook salmon,Summer,,,1,30101170205,,MPG Name changed 20151203 by Monica Diaz,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
167,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Whidbey Basin,Lower Skagit River - fall Chinook salmon,"Salmon, Chinook (Puget Sound ESU) Lower Skagit River - fall",40,Lower Skagit River,CKPUGfaLSK,Oncorhynchus tshawytscha,Chinook,fall,Extant,Independent,Threatened,NMFS,3,Chinook salmon,Fall,,,1,30101170204,,MPG Name changed 20151203 by Monica Diaz,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
168,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Whidbey Basin,North Fork Stillaguamish River - summer Chinook salmon,"Salmon, Chinook (Puget Sound ESU) North Fork Stillaguamish River - summer",44,North Fork Stillaguamish River,CKPUGsuNSG,Oncorhynchus tshawytscha,Chinook,summer,Extant,Independent,Threatened,NMFS,3,Chinook salmon,Summer,,,1,30101170210,,MPG Name changed 20151203 by Monica Diaz,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
169,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Whidbey Basin,Skykomish River - summer Chinook salmon,"Salmon, Chinook (Puget Sound ESU) Skykomish River - summer",48,Skykomish River,CKPUGsuSKY,Oncorhynchus tshawytscha,Chinook,summer,Extant,Independent,Threatened,NMFS,3,Chinook salmon,Summer,,,1,30101170211,,MPG Name changed 20151203 by Monica Diaz,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
170,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Whidbey Basin,Snoqualmie River - fall Chinook salmon,"Salmon, Chinook (Puget Sound ESU) Snoqualmie River - fall",49,Snoqualmie River,CKPUGfaSNQ,Oncorhynchus tshawytscha,Chinook,fall,Extant,Independent,Threatened,NMFS,3,Chinook salmon,Fall,,,1,30101100213,,MPG Name changed 20151203 by Monica Diaz,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
171,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Whidbey Basin,South Fork Stillaguamish River - fall Chinook salmon,"Salmon, Chinook (Puget Sound ESU) South Fork Stillaguamish River - fall",51,South Fork Stillaguamish River,CKPUGfaSMS,Oncorhynchus tshawytscha,Chinook,fall,Extant,Independent,Threatened,NMFS,3,Chinook salmon,Fall,,,1,30101170209,,MPG Name changed 20151203 by Monica Diaz,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
172,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Whidbey Basin,Suiattle River - spring Chinook salmon,"Salmon, Chinook (Puget Sound ESU) Suiattle River - spring",52,Suiattle River,CKPUGspSUI,Oncorhynchus tshawytscha,Chinook,spring,Extant,Independent,Threatened,NMFS,3,Chinook salmon,Spring,,,1,30101160212,,MPG Name changed 20151203 by Monica Diaz,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
173,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Whidbey Basin,Upper Sauk River - spring Chinook salmon,"Salmon, Chinook (Puget Sound ESU) Upper Sauk River - spring",53,Upper Sauk River,CKPUGspUSA,Oncorhynchus tshawytscha,Chinook,spring,Extant,Independent,Threatened,NMFS,3,Chinook salmon,Spring,,,1,30101160206,,MPG Name changed 20151203 by Monica Diaz,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
175,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Hood Canal,Mid-Hood Canal - fall Chinook salmon,"Salmon, Chinook (Puget Sound ESU) Mid-Hood Canal - fall",42,Mid-Hood Canal,CKPUGfaMHC,Oncorhynchus tshawytscha,Chinook,fall,Extant,Independent,Threatened,NMFS,3,Chinook salmon,Fall,,,1,30101170222,,MPG Name changed 20151203 by Monica Diaz,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
176,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Hood Canal,Skokomish River - fall Chinook salmon,"Salmon, Chinook (Puget Sound ESU) Skokomish River - fall",47,Skokomish River,CKPUGfaSKO,Oncorhynchus tshawytscha,Chinook,fall,Extant,Independent,Threatened,NMFS,3,Chinook salmon,Fall,,,1,30101170221,,MPG Name changed 20151203 by Monica Diaz,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
177,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Strait of Georgia,North Fork Nooksack River - spring Chinook salmon,"Salmon, Chinook (Puget Sound ESU) North Fork Nooksack River - spring",41,North Fork Nooksack River,CKPUGspNSK,Oncorhynchus tshawytscha,Chinook,spring,Extant,Independent,Threatened,NMFS,3,Chinook salmon,Spring,,,1,30101160201,,MPG Name changed 20151203 by Monica Diaz,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
178,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Strait of Georgia,South Fork Nooksack River - spring Chinook salmon,"Salmon, Chinook (Puget Sound ESU) South Fork Nooksack River - spring",50,South Fork Nooksack River,CKPUGspSFN,Oncorhynchus tshawytscha,Chinook,spring,Extant,Independent,Threatened,NMFS,3,Chinook salmon,Spring,,,1,30101160202,,MPG Name changed 20151203 by Monica Diaz,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
179,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Strait of Juan de Fuca,Dungeness River - summer Chinook salmon,"Salmon, Chinook (Puget Sound ESU) Dungeness River - summer",36,Dungeness River,CKPUGsuDNG,Oncorhynchus tshawytscha,Chinook,summer,Extant,Independent,Threatened,NMFS,3,Chinook salmon,Summer,,,1,30101010224,,MPG Name changed 20151203 by Monica Diaz,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
180,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Strait of Juan de Fuca,Elwha River - fall Chinook salmon,"Salmon, Chinook (Puget Sound ESU) Elwha River - fall",37,Elwha River,CKPUGfaELW,Oncorhynchus tshawytscha,Chinook,fall,Extant,Independent,Threatened,NMFS,3,Chinook salmon,Fall,,,1,30101180226,,MPG Name changed 20151203 by Monica Diaz,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
181,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Central/South Sound,Cedar River - fall Chinook salmon,"Salmon, Chinook (Puget Sound ESU) Cedar River - fall",35,Cedar River,CKPUGfaCDR,Oncorhynchus tshawytscha,Chinook,fall,Extant,Independent,Threatened,NMFS,3,Chinook salmon,Fall,,,1,30101170215,,MPG Name changed 20151203 by Monica Diaz,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
