POPID,RECOVERYDOMAIN,ESU_DPS,MAJORPOPGROUP,POPULATIONNAME,ESAPOPNAME,NMFS_POPID,NMFS_POPULATION,NMFS_POPCODE,NMFS_SPECIES,NMFS_COMMON_SPECIES,NMFS_RUN,POPSTATUS,NMFS_TYPE,LISTING_STATUS,DEFINEDBY,BPA_PRIORITY,SPECIES,RUN,FCRPS_SECTION,FCRPS_SECTIONTITLE,INCAX,RTID,CONTACTAGENCY,RECORDNOTE,DATASETVERSION,UPDDATE,SNLOADDATE,LASTUPDATED,LASTMODIFIEDON
23,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Middle Fork Salmon,Middle Fork Salmon River Upper Mainstem - spring Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) Middle Fork Salmon River Upper Mainstem - spring",80,Middle Fork Salmon River Upper Mainstem,CKSRSspMSU,Oncorhynchus tshawytscha,Chinook,spring,Extant,Independent,Threatened,NMFS,3,Chinook salmon,Spring,8.03        ,8.3 Snake River Spring/Summer Chinook Salmon,1,30119060431,,Run Changed 20150420,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
24,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Middle Fork Salmon,Sulphur Creek - spring Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) Sulphur Creek - spring",92,Sulphur Creek,CKSRSspSPH,Oncorhynchus tshawytscha,Chinook,spring,Extant,Independent,Threatened,NMFS,3,Chinook salmon,Spring,8.03        ,8.3 Snake River Spring/Summer Chinook Salmon,1,30119060432,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
25,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",South Fork Salmon,East Fork South Fork Salmon River - summer Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) East Fork South Fork Salmon River - summer",65,East Fork South Fork Salmon River,CKSRSsuESF,Oncorhynchus tshawytscha,Chinook,summer,Extant,Independent,Threatened,NMFS,2,Chinook salmon,Summer,8.03        ,8.3 Snake River Spring/Summer Chinook Salmon,1,30119060425,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
26,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",South Fork Salmon,Little Salmon River - spring/summer Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) Little Salmon River - spring/summer",71,Little Salmon River,CKSRSssLSR,Oncorhynchus tshawytscha,Chinook,spring/summer,Extant,Independent,Threatened,NMFS,2,Chinook salmon,Spring/summer,8.03        ,8.3 Snake River Spring/Summer Chinook Salmon,1,30119060422,,Run Changed 20150420,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/21 11:17:00
27,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",South Fork Salmon,Secesh River - summer Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) Secesh River - summer",90,Secesh River,CKSRSsuSEC,Oncorhynchus tshawytscha,Chinook,summer,Extant,Independent,Threatened,NMFS,2,Chinook salmon,Summer,8.03        ,8.3 Snake River Spring/Summer Chinook Salmon,1,30119060424,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
28,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",South Fork Salmon,South Fork Salmon River - summer Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) South Fork Salmon River - summer",91,South Fork Salmon River,CKSRSsuSFS,Oncorhynchus tshawytscha,Chinook,summer,Extant,Independent,Threatened,NMFS,2,Chinook salmon,Summer,8.03        ,8.3 Snake River Spring/Summer Chinook Salmon,1,30119060423,,Run Changed 20150420,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
29,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Upper Salmon,East Fork Salmon River - spring/summer Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) East Fork Salmon River - spring/summer",64,East Fork Salmon River,CKSRSssEFS,Oncorhynchus tshawytscha,Chinook,spring/summer,Extant,Independent,Threatened,NMFS,2,Chinook salmon,Spring/summer,8.03        ,8.3 Snake River Spring/Summer Chinook Salmon,1,30119060440,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
30,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Upper Salmon,Lemhi River - spring Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) Lemhi River - spring",70,Lemhi River,CKSRSspLEM,Oncorhynchus tshawytscha,Chinook,spring,Extant,Independent,Threatened,NMFS,2,Chinook salmon,Spring,8.03        ,8.3 Snake River Spring/Summer Chinook Salmon,1,30119060437,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
31,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Upper Salmon,North Fork Salmon River - spring Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) North Fork Salmon River - spring",84,North Fork Salmon River,CKSRSspNFS,Oncorhynchus tshawytscha,Chinook,spring,Extant,Independent,Threatened,NMFS,3,Chinook salmon,Spring,8.03        ,8.3 Snake River Spring/Summer Chinook Salmon,1,30119060436,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
32,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Upper Salmon,Pahsimeroi River - summer Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) Pahsimeroi River - summer",85,Pahsimeroi River,CKSRSsuPAH,Oncorhynchus tshawytscha,Chinook,summer,Extant,Independent,Threatened,NMFS,2,Chinook salmon,Summer,8.03        ,8.3 Snake River Spring/Summer Chinook Salmon,1,30119060439,,Run Changed 20150420,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
33,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Upper Salmon,Panther Creek - Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) Panther Creek - unknown",86,Panther Creek,CKSRSxxPAN,Oncorhynchus tshawytscha,Chinook,unknown,Functionally Extirpated,Independent,Threatened,NMFS,3,Chinook salmon,unknown,8.03        ,8.3 Snake River Spring/Summer Chinook Salmon,1,30119060435,,,2020/08/11 10:00,2015/04/20 04:20:00,,,2019/02/07 01:29:00
