"esa_pop_name","species","run","name","stock","origin","release_location"
"Steelhead (Lower Columbia River DPS) Kalama River - winter","steelhead","winter","FALLERT CR HATCHERY","Kalama River","Wild Origin","FALLERT CR   27.0017"
"Steelhead (Lower Columbia River DPS) Kalama River - winter","steelhead","winter","GOBAR POND      (27)","Kalama River","Wild Origin","GOBAR CR     27.0073"
"Steelhead (Lower Columbia River DPS) Kalama River - winter","steelhead","winter","KALAMA FALLS HATCHERY","Kalama River","Hatchery Origin","KALAMA R     27.0002"
"Steelhead (Lower Columbia River DPS) Kalama River - winter","steelhead","winter","GOBAR POND      (27)","Kalama River","Wild Origin","KALAMA R     27.0002"
"Steelhead (Lower Columbia River DPS) Kalama River - winter","steelhead","winter","KALAMA FALLS HATCHERY","Kalama Falls Hatchery","Hatchery Origin","KALAMA R     27.0002"
"Steelhead (Lower Columbia River DPS) Salmon Creek - winter","steelhead","winter","SKAMANIA HATCHERY","Skamania","Hatchery Origin","SALMON CR    28.0059"
"Steelhead (Lower Columbia River DPS) Salmon Creek - winter","steelhead","winter","KLINELINE PONDS","Skamania","Hatchery Origin","SALMON CR    28.0059"
"Steelhead (Lower Columbia River DPS) Salmon Creek - winter","steelhead","winter","KLINELINE PONDS","Kalama River","Hatchery Origin","SALMON CR    28.0059"
"Steelhead (Lower Columbia River DPS) Salmon Creek - winter","steelhead","winter","KLINELINE PONDS","Elochoman River","Hatchery Origin","SALMON CR    28.0059"
"Steelhead (Lower Columbia River DPS) Salmon Creek - winter","steelhead","winter","KLINELINE PONDS","Kalama Falls Hatchery","Hatchery Origin","SALMON CR    28.0059"
"Steelhead (Lower Columbia River DPS) Salmon Creek - winter","steelhead","winter","KLINELINE PONDS","Lower Cowlitz River","Mixed Hatchery/Wild Origin","SALMON CR    28.0059"
"Steelhead (Lower Columbia River DPS) Salmon Creek - winter","steelhead","winter","SKAMANIA HATCHERY","Lower Cowlitz River","Mixed Hatchery/Wild Origin","SALMON CR    28.0059"
"Steelhead (Lower Columbia River DPS) North Fork Lewis River - summer","steelhead","summer","MERWIN HATCHERY","Lewis River","Hatchery Origin","LEWIS R -NF  27.0168"
"Steelhead (Lower Columbia River DPS) North Fork Lewis River - summer","steelhead","summer","MERWIN HATCHERY","Merwin Hatchery Stock","Hatchery Origin","LEWIS R -NF  27.0168"
"Steelhead (Lower Columbia River DPS) East Fork Lewis River - summer","steelhead","summer","SKAMANIA HATCHERY","Skamania","Hatchery Origin","LEWIS R -EF  27.0173"
"Steelhead (Lower Columbia River DPS) Washougal River - summer","steelhead","summer","SKAMANIA HATCHERY","Skamania","Hatchery Origin","WASHOUGAL R  28.0159"
"Steelhead (Lower Columbia River DPS) Washougal River - summer","steelhead","summer","SKAMANIA HATCHERY","Skamania","Hatchery Origin","WASHOUGAL-NF 28.0200"
"Steelhead (Lower Columbia River DPS) Washougal River - summer","steelhead","summer","SKAMANIA HATCHERY","Skamania Hatchery Stock","Hatchery Origin","WASHOUGAL-NF 28.0200"
"Steelhead (Lower Columbia River DPS) Washougal River - summer","steelhead","summer","SKAMANIA HATCHERY","Skamania Hatchery Stock","Hatchery Origin","WASHOUGAL R  28.0159"
"Steelhead (Southwest Washington DPS) Elochoman River - winter","steelhead","winter","BEAVER CR HATCHERY","Elochoman River","Hatchery Origin","BEAVER CR RELEASES    25.0247"
"Steelhead (Southwest Washington DPS) Elochoman River - winter","steelhead","winter","BEAVER CR HATCHERY","Grays River","Hatchery Origin","BEAVER CR RELEASES    25.0247"
"Steelhead (Southwest Washington DPS) Elochoman River - winter","steelhead","winter","BEAVER CR HATCHERY","Lewis River","Hatchery Origin","BEAVER CR RELEASES    25.0247"
"Steelhead (Southwest Washington DPS) Elochoman River - winter","steelhead","winter","BEAVER CR HATCHERY","Skamania","Hatchery Origin","BEAVER CR RELEASES    25.0247"
"Steelhead (Southwest Washington DPS) Elochoman River - winter","steelhead","winter","BEAVER CR HATCHERY","Kalama River","Hatchery Origin","BEAVER CR RELEASES    25.0247"
"Steelhead (Southwest Washington DPS) Elochoman River - winter","steelhead","winter","BEAVER CR HATCHERY","Beaver Creek Hatchery Stock","Hatchery Origin","BEAVER CR RELEASES    25.0247"
"Steelhead (Southwest Washington DPS) Elochoman River - winter","steelhead","winter","BEAVER CR HATCHERY","Merwin Hatchery Stock","Hatchery Origin","BEAVER CR RELEASES    25.0247"
"Steelhead (Southwest Washington DPS) Elochoman River - winter","steelhead","winter","BEAVER CR HATCHERY","Big Creek, OR","Hatchery Origin","BEAVER CR RELEASES    25.0247"
"Steelhead (Southwest Washington DPS) Elochoman River - winter","steelhead","winter","BEAVER CR HATCHERY","Beaver Creek Hatchery Stock","Hatchery Origin","ELOCHOMAN R  25.0236"
"Salmon, chum (Columbia River ESU) Lower Gorge Tributaries - fall","chum","fall","WASHOUGAL HATCHERY","Columbia River","Wild Origin","DUNCAN CR    28.0296"
"Salmon, chum (Columbia River ESU) Lower Gorge Tributaries - fall","chum","fall","VANCOUVER HATCHERY","Columbia River","Wild Origin","DUNCAN CR    28.0296"
"Steelhead (Southwest Washington DPS) Grays and Chinook Rivers - winter","steelhead","winter","GRAYS RIVER HATCHERY","Elochoman River","Hatchery Origin","GRAYS R -WF  25.0131"
"Steelhead (Southwest Washington DPS) Grays and Chinook Rivers - winter","steelhead","winter","GRAYS RIVER HATCHERY","Grays River","Hatchery Origin","GRAYS R -WF  25.0131"
"Salmon, chum (Columbia River ESU) Grays and Chinook Rivers - fall","chum","fall","GRAYS RIVER HATCHERY","Grays River","Mixed Hatchery/Wild Origin","GRAYS R      25.0093"
