"brood_code","Brood_Year","species_description","run_description","stock_description","Origin_desc","quasi_noaa_name","Wild","Hatchery","nosa_esa_pop_name","stock_id","comments","sasi_stock_num","POPFIT","BESTVALUE","nosaij","nosaej","phosij","phosej","tsaij","tsaej","pHOS","pNOS","pNOB","pHOB","pNI"
"CO:NO:WASH:2012:M",2012,"coho","fall","Washougal River","Mixed Hatchery/Wild Origin","Washougal River fall coho",13,0,"Salmon, coho (Lower Columbia River ESU) Washougal River - late","40B850DA-D2AF-43DE-9E39-495518B517BE",NA,"3780","Same","Yes",NA,422,NA,0.124,NA,493,0.124,0.876,1,0,0.889679715302491
"CO:NO:WASH:2013:H",2013,"coho","fall","Washougal River","Hatchery Origin","Washougal River fall coho",0,1744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
"CO:NO:WASH:2013:M",2013,"coho","fall","Washougal River","Mixed Hatchery/Wild Origin","Washougal River fall coho",91,2,"Salmon, coho (Lower Columbia River ESU) Washougal River - late","40B850DA-D2AF-43DE-9E39-495518B517BE",NA,"3780","Same","Yes",NA,464,NA,0.345,NA,719,0.345,0.655,0.978494623655914,0.021505376344086,0.739326481699638
"CO:NO:WASH:2014:H",2014,"coho","fall","Washougal River","Hatchery Origin","Washougal River fall coho",0,1898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
"CO:NO:WASH:2014:M",2014,"coho","fall","Washougal River","Mixed Hatchery/Wild Origin","Washougal River fall coho",61,61,"Salmon, coho (Lower Columbia River ESU) Washougal River - late","40B850DA-D2AF-43DE-9E39-495518B517BE",NA,"3780","Same","Yes",NA,883,NA,0.685,NA,2777,0.685,0.315,0.5,0.5,0.421940928270042
"CO:NO:WASH:2015:H",2015,"coho","fall","Washougal River","Hatchery Origin","Washougal River fall coho",0,419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
"CO:NO:WASH:2015:M",2015,"coho","fall","Washougal River","Mixed Hatchery/Wild Origin","Washougal River fall coho",34,34,"Salmon, coho (Lower Columbia River ESU) Washougal River - late","40B850DA-D2AF-43DE-9E39-495518B517BE",NA,"3780","Same","Yes",NA,147,NA,0.626,NA,396,0.626,0.374,0.5,0.5,0.44404973357016
"CO:NO:WASH:2016:M",2016,"coho","fall","Washougal River","Mixed Hatchery/Wild Origin","Washougal River fall coho",52,52,"Salmon, coho (Lower Columbia River ESU) Washougal River - late","40B850DA-D2AF-43DE-9E39-495518B517BE",NA,"3780","Same","Yes",NA,314,NA,0.726,NA,1141,0.726,0.274,0.5,0.5,0.407830342577488
"CO:NO:WASH:2017:M",2017,"coho","fall","Washougal River","Mixed Hatchery/Wild Origin","Washougal River fall coho",65,65,"Salmon, coho (Lower Columbia River ESU) Washougal River - late","40B850DA-D2AF-43DE-9E39-495518B517BE",NA,"3780","Same","Yes",NA,277,NA,0.754,NA,1130,0.754,0.246,0.5,0.5,0.398724082934609
"CO:NO:WASH:2018:M",2018,"coho","fall","Washougal River","Mixed Hatchery/Wild Origin","Washougal River fall coho",61,61,"Salmon, coho (Lower Columbia River ESU) Washougal River - late","40B850DA-D2AF-43DE-9E39-495518B517BE",NA,"3780","Same","Yes",NA,298,NA,0.703,NA,997,0.703,0.297,0.5,0.5,0.415627597672486
"CO:NO:WASH:2019:M",2019,"coho","fall","Washougal River","Mixed Hatchery/Wild Origin","Washougal River fall coho",43,43,"Salmon, coho (Lower Columbia River ESU) Washougal River - late","40B850DA-D2AF-43DE-9E39-495518B517BE",NA,"3780","Same","Yes",NA,559,NA,0.552,NA,1265,0.552,0.448,0.5,0.5,0.475285171102662
"CO:NO:WASH:2020:M",2020,"coho","fall","Washougal River","Mixed Hatchery/Wild Origin","Washougal River fall coho",38,38,"Salmon, coho (Lower Columbia River ESU) Washougal River - late","40B850DA-D2AF-43DE-9E39-495518B517BE",NA,"3780","Same","Yes",NA,858,NA,0.614,NA,2249,0.614,0.386,0.5,0.5,0.448833034111311
"CO:NO:WASH:2021:M",2021,"coho","fall","Washougal River","Mixed Hatchery/Wild Origin","Washougal River fall coho",44,44,"Salmon, coho (Lower Columbia River ESU) Washougal River - late","40B850DA-D2AF-43DE-9E39-495518B517BE",NA,"3780","Same","Yes",NA,752,NA,0.182,NA,932,0.182,0.818,0.5,0.5,0.733137829912023
"CO:NO:WASH:2022:M",2022,"coho","fall","Washougal River","Mixed Hatchery/Wild Origin","Washougal River fall coho",48,48,"Salmon, coho (Lower Columbia River ESU) Washougal River - late","40B850DA-D2AF-43DE-9E39-495518B517BE",NA,"3780","Same","Yes",NA,782,NA,0.379,NA,1271,0.379,0.621,0.5,0.5,0.568828213879408
"CO:NO:WASH:2023:M",2023,"coho","fall","Washougal River","Mixed Hatchery/Wild Origin","Washougal River fall coho",43,43,"Salmon, coho (Lower Columbia River ESU) Washougal River - late","40B850DA-D2AF-43DE-9E39-495518B517BE",NA,"3780","Same","Yes",NA,500,NA,0.268,NA,695,0.268,0.732,0.5,0.5,0.651041666666667
"CO:NO:WSHA:2016:H",2016,"coho","fall","Washougal River Hatchery Stock","Hatchery Origin","Washougal River Hatchery Stock fall coho",0,1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
"CO:NO:WSHA:2017:H",2017,"coho","fall","Washougal River Hatchery Stock","Hatchery Origin","Washougal River Hatchery Stock fall coho",0,1767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
"CO:NO:WSHA:2018:H",2018,"coho","fall","Washougal River Hatchery Stock","Hatchery Origin","Washougal River Hatchery Stock fall coho",0,1733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
"CO:NO:WSHA:2019:H",2019,"coho","fall","Washougal River Hatchery Stock","Hatchery Origin","Washougal River Hatchery Stock fall coho",0,1157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
"CO:NO:WSHA:2020:H",2020,"coho","fall","Washougal River Hatchery Stock","Hatchery Origin","Washougal River Hatchery Stock fall coho",0,1674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
"CO:NO:WSHA:2021:H",2021,"coho","fall","Washougal River Hatchery Stock","Hatchery Origin","Washougal River Hatchery Stock fall coho",0,1793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
"CO:NO:WSHA:2022:H",2022,"coho","fall","Washougal River Hatchery Stock","Hatchery Origin","Washougal River Hatchery Stock fall coho",0,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
"CO:NO:WSHA:2023:H",2023,"coho","fall","Washougal River Hatchery Stock","Hatchery Origin","Washougal River Hatchery Stock fall coho",0,1935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
"CO:SO:GRAY:2010:M",2010,"coho","fall","Grays River","Mixed Hatchery/Wild Origin","Grays River fall coho",0,60,"Salmon, coho (Lower Columbia River ESU) Grays and Chinook Rivers - late","B0BAF03F-4C1A-440C-94FB-7BF53CD15D9D","was grays coho every integrated (should there be unmarked fish in brood?)","3630","Same","Yes",NA,463,NA,0.79,NA,2180,0.79,0.21,0,1,0
"CO:SO:KALA:2010:M",2010,"coho","fall","Kalama River","Mixed Hatchery/Wild Origin","Kalama River fall coho",0,95,"Salmon, coho (Lower Columbia River ESU) Kalama River - late","FC5372B1-0479-448C-B9C5-E8591AA89999","was kalama coho ever integrated?","3740","Same","Yes",NA,68,NA,0.957,NA,1593,0.957,0.043,0,1,0
"CO:SO:KALA:2011:M",2011,"coho","fall","Kalama River","Mixed Hatchery/Wild Origin","Kalama River fall coho",0,86,"Salmon, coho (Lower Columbia River ESU) Kalama River - late","FC5372B1-0479-448C-B9C5-E8591AA89999","was kalama coho ever integrated?","3740","Same","Yes",NA,39,NA,0.9,NA,393,0.9,0.1,0,1,0
"CO:SO:KALA:2012:M",2012,"coho","fall","Kalama River","Mixed Hatchery/Wild Origin","Kalama River fall coho",27,77,"Salmon, coho (Lower Columbia River ESU) Kalama River - late","FC5372B1-0479-448C-B9C5-E8591AA89999","was kalama coho ever integrated?","3740","Same","Yes",NA,40,NA,0.846,NA,261,0.846,0.154,0.259615384615385,0.740384615384615,0.234815278647464
"CO:SO:KALA:2013:M",2013,"coho","fall","Kalama River","Mixed Hatchery/Wild Origin","Kalama River fall coho",38,106,"Salmon, coho (Lower Columbia River ESU) Kalama River - late","FC5372B1-0479-448C-B9C5-E8591AA89999","was kalama coho ever integrated?","3740","Same","Yes",NA,49,NA,0.868,NA,364,0.868,0.132,0.263888888888889,0.736111111111111,0.233140276823402
"CO:SO:KALA:2015:H",2015,"coho","fall","Kalama River","Hatchery Origin","Kalama River fall coho",0,381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
"CO:SO:LEHA:2016:H",2016,"coho","fall","Lewis River Hatchery Stock","Hatchery Origin","Lewis River Hatchery Stock fall coho",1,1021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000978473581213307,0.999021526418787,NA
"CO:SO:LEHA:2017:H",2017,"coho","fall","Lewis River Hatchery Stock","Hatchery Origin","Lewis River Hatchery Stock fall coho",0,1220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
"CO:SO:LEHA:2018:H",2018,"coho","fall","Lewis River Hatchery Stock","Hatchery Origin","Lewis River Hatchery Stock fall coho",0,1194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
"CO:SO:LEHA:2019:H",2019,"coho","fall","Lewis River Hatchery Stock","Hatchery Origin","Lewis River Hatchery Stock fall coho",0,1312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
"CO:SO:LEHA:2020:H",2020,"coho","fall","Lewis River Hatchery Stock","Hatchery Origin","Lewis River Hatchery Stock fall coho",0,1196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
"CO:SO:LEHA:2021:H",2021,"coho","fall","Lewis River Hatchery Stock","Hatchery Origin","Lewis River Hatchery Stock fall coho",0,1217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
